termo,peso
morte,-1.0
angústia,-0.9
sofrimento,-1.0
dor,-0.9
desespero,-1.0
abandono,-0.9
derrota,-0.8
fracasso,-0.8
ódio,-1.0
horror,-1.0
pânico,-0.9
crueldade,-1.0
miséria,-0.9
ruína,-0.9
traição,-0.9
culpa,-0.8
vergonha,-0.7
rejeição,-0.8
apatia,-0.6
tédio,-0.5
amargura,-0.8
rancor,-0.9
medo,-0.8
agonia,-1.0
tortura,-1.0
maldade,-0.9
depressão,-1.0
ansiedade,-0.8
caos,-0.7
desastre,-0.9
tragédia,-1.0
veneno,-0.8
podridão,-0.7
verme,-0.6
lixo,-0.6
sujeira,-0.5
doença,-0.8
ferida,-0.7
cicatriz,-0.5
pesadelo,-0.8
sombrio,-0.7
obscuro,-0.6
mórbido,-0.9
funesto,-0.9
macabro,-0.8
sepulcro,-0.9
cadáver,-1.0
finitude,-0.7
decadência,-0.8
negligência,-0.7
corrupção,-0.8
opressão,-0.9
tirania,-0.9
escravidão,-1.0
abismo,-0.8
precipício,-0.7
inferno,-1.0
demônio,-0.9
maldito,-0.9
infeliz,-0.7
pobreza,-0.7
fome,-0.9
guerra,-1.0
sangue,-0.7
violência,-1.0
agressão,-0.9
insulto,-0.6
desprezo,-0.8
humilhação,-0.9
inveja,-0.7
avareza,-0.6
mentira,-0.8
falsidade,-0.8
hipocrisia,-0.8
egoísmo,-0.7
soberba,-0.6
arrogância,-0.6
solidão,-0.9
isolamento,-0.7
exílio,-0.8
desterro,-0.8
perda,-0.9
luto,-1.0
adeus,-0.7
partida,-0.6
esquecimento,-0.8
vazio,-0.7
nada,-0.6
fim,-0.8
morte,-1.0
defeito,-0.5
erro,-0.4
falha,-0.5
decepção,-0.8
desilusão,-0.8
frustração,-0.7
pessimismo,-0.6
descrença,-0.6
ruim,-0.7
péssimo,-0.9
horrível,-0.9
