termo,peso
felicidade,1.0
alegria,0.9
amor,1.0
paz,0.9
esperança,0.8
sucesso,0.9
vitória,0.9
gratidão,1.0
entusiasmo,0.8
euforia,0.9
harmonia,0.8
prosperidade,0.8
saúde,0.9
liberdade,0.9
bondade,0.8
carinho,0.7
ternura,0.7
paixão,0.9
triunfo,0.9
conquista,0.8
amizade,0.8
lealdade,0.9
confiança,0.8
coragem,0.8
gentileza,0.7
compaixão,0.8
empatia,0.8
respeito,0.8
honra,0.9
dignidade,0.9
beleza,0.7
encanto,0.6
brilho,0.6
luz,0.7
sorriso,0.7
riso,0.6
abraço,0.7
beijo,0.7
afeto,0.7
união,0.8
solidariedade,0.9
altruísmo,0.9
generosidade,0.8
perdão,0.9
paciência,0.7
calma,0.6
tranquilidade,0.7
serenidade,0.8
plenitude,0.9
satisfação,0.7
realização,0.8
progresso,0.7
abundância,0.8
riqueza,0.7
sorte,0.7
milagre,1.0
fé,0.9
otimismo,0.8
inspiração,0.8
criatividade,0.7
genialidade,0.8
talento,0.7
inteligência,0.7
sabedoria,0.9
conhecimento,0.7
verdade,0.8
justiça,0.9
ética,0.8
virtude,0.8
pureza,0.8
inocência,0.7
paraíso,1.0
céu,0.8
anjo,0.8
divino,0.9
sagrado,0.9
eterno,0.7
vida,1.0
vitalidade,0.8
vigor,0.7
energia,0.7
despertar,0.6
renascimento,0.8
alívio,0.6
conforto,0.6
acolhimento,0.7
segurança,0.7
proteção,0.7
cuidado,0.6
zelo,0.6
amparo,0.7
ajuda,0.6
apoio,0.6
parceria,0.7
celebração,0.8
festa,0.7
diversão,0.6
prazer,0.8
delícia,0.7
maravilha,0.9
excelente,0.9
